City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,atuona,-9.8,-139.0333,78.64,75,76,15.55,broken clouds,PF,2021-12-11 04:47:46
1,bairiki,1.3292,172.9752,87.8,62,40,12.66,scattered clouds,KI,2021-12-11 04:47:46
2,kochi,9.9399,76.2602,84.18,56,5,3.02,clear sky,IN,2021-12-11 04:47:46
3,bagdarin,54.4333,113.6,1.72,65,15,6.17,few clouds,RU,2021-12-11 04:47:47
4,roald,62.5833,6.1333,31.33,80,62,5.75,broken clouds,NO,2021-12-11 04:47:47
5,rikitea,-23.1203,-134.9692,76.06,69,77,17.07,broken clouds,PF,2021-12-11 04:47:47
6,cidreira,-30.1811,-50.2056,64.83,77,71,5.26,broken clouds,BR,2021-12-11 04:47:48
7,kautokeino,69.0125,23.0412,0.64,100,93,3.06,overcast clouds,NO,2021-12-11 04:47:48
8,arraial do cabo,-22.9661,-42.0278,71.82,85,97,6.69,overcast clouds,BR,2021-12-11 04:47:49
9,lebu,-37.6167,-73.65,55.38,91,92,4.07,overcast clouds,CL,2021-12-11 04:47:49
10,sambava,-14.2667,50.1667,76.53,73,100,7.14,overcast clouds,MG,2021-12-11 04:47:49
11,east london,-33.0153,27.9116,68.94,94,75,12.66,mist,ZA,2021-12-11 04:47:50
12,port elizabeth,-33.918,25.5701,71.1,94,20,10.36,few clouds,ZA,2021-12-11 04:47:50
13,buchanan,5.8808,-10.0467,78.3,84,44,5.32,light rain,LR,2021-12-11 04:47:51
14,port blair,11.6667,92.75,83.44,69,3,14.9,clear sky,IN,2021-12-11 04:47:51
15,rochegda,62.8,43.25,-0.6,98,70,4.05,broken clouds,RU,2021-12-11 04:47:51
16,sobolevo,54.4299,31.8996,33.22,92,100,17.45,light snow,RU,2021-12-11 04:47:52
17,biak,-0.9131,122.8766,83.32,74,89,2.26,overcast clouds,ID,2021-12-11 04:47:52
18,lukovetskiy,64.2956,41.9211,4.98,92,89,6.15,overcast clouds,RU,2021-12-11 04:47:52
19,jizan,17.3333,42.6667,72.54,29,1,3.29,clear sky,SA,2021-12-11 04:47:53
20,tuktoyaktuk,69.4541,-133.0374,-13.0,77,40,10.36,scattered clouds,CA,2021-12-11 04:47:53
21,punta arenas,-53.15,-70.9167,51.91,66,75,13.8,broken clouds,CL,2021-12-11 04:47:54
22,bluff,-46.6,168.3333,57.79,55,79,16.4,broken clouds,NZ,2021-12-11 04:47:54
23,kumluca,36.3703,30.2869,55.67,81,75,3.71,broken clouds,TR,2021-12-11 04:47:54
