City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,san carlos,VE,75.81,broken clouds,9.6612,-68.5827,Hotel Paternopoli
6,kaitangata,NZ,56.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
9,kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,ancud,CL,57.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
14,havelock,US,67.96,overcast clouds,34.8791,-76.9013,Sherwood Motel
15,richards bay,ZA,74.62,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
18,arraial do cabo,BR,72.81,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
25,bengkulu,ID,77.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
31,east london,ZA,78.22,overcast clouds,-33.0153,27.9116,Tu Casa
32,naze,JP,68.92,scattered clouds,28.3667,129.4833,Shishime Hotel
33,new norfolk,AU,59.72,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
35,constitucion,CL,57.69,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
36,atuona,PF,78.8,overcast clouds,-9.8,-139.0333,Villa Enata
37,sao benedito do rio preto,BR,75.06,overcast clouds,-3.3336,-43.5283,João de Barro Hotel
39,rikitea,PF,76.28,broken clouds,-23.1203,-134.9692,People ThankYou
41,bredasdorp,ZA,62.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
42,sidvokodvo,SZ,69.82,overcast clouds,-26.6282,31.4202,Rider's Ranch
44,busselton,AU,67.08,overcast clouds,-33.65,115.3333,Observatory Guest House
45,kempsey,AU,76.95,scattered clouds,-31.0833,152.8333,Park Drive Motel
47,saldanha,ZA,60.85,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
55,cabo san lucas,MX,76.05,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
56,cape town,ZA,63.09,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
57,lagoa,PT,63.28,clear sky,39.05,-27.9833,Casa Das Faias
58,mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,port alfred,ZA,71.71,clear sky,-33.5906,26.891,The Halyards Hotel
61,port lincoln,AU,65.84,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
65,hermanus,ZA,62.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
68,wonthaggi,AU,69.21,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
