City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-12-08 20:10:22,-34.5322,20.0403,65.28,89,99,12.55
1,Butaritari,KI,2021-12-08 20:10:22,3.0707,172.7902,82.4,77,99,12.86
2,Nikolskoye,RU,2021-12-08 20:10:22,59.7035,30.7861,10.29,100,97,2.68
3,Bluff,NZ,2021-12-08 20:10:23,-46.6,168.3333,52.81,87,100,4.14
4,Kinablangan,PH,2021-12-08 20:10:23,7.6947,126.5503,76.66,80,100,5.95
5,Lorengau,PG,2021-12-08 20:10:23,-2.0226,147.2712,80.17,84,100,17.29
6,Bengkulu,ID,2021-12-08 20:10:24,-3.8004,102.2655,74.95,91,54,4.54
7,Massillon,US,2021-12-08 20:10:24,40.7967,-81.5215,31.01,64,90,5.01
8,Provideniya,RU,2021-12-08 20:10:25,64.3833,-173.3,6.91,78,90,24.61
9,Chabahar,IR,2021-12-08 20:10:26,25.2919,60.643,72.28,59,59,2.89
10,Tucumcari,US,2021-12-08 20:10:26,35.1717,-103.725,66.04,18,1,25.32
11,Crotone,IT,2021-12-08 20:10:26,39.0851,17.1178,48.92,67,100,10.38
12,Rikitea,PF,2021-12-08 20:10:27,-23.1203,-134.9692,75.69,67,49,21.23
13,Husavik,IS,2021-12-08 20:10:27,66.0449,-17.3389,21.13,64,29,14.63
14,Inongo,CD,2021-12-08 20:10:28,-1.95,18.2667,72.16,88,64,4.68
15,Ewa Beach,US,2021-12-08 20:10:28,21.3156,-158.0072,84.15,71,1,9.22
16,Ocampo,MX,2021-12-08 20:10:28,21.65,-101.5,72.28,15,24,9.08
17,Tubuala,PA,2021-12-08 20:10:29,9.5167,-79.0333,90.55,79,87,10.89
18,Saskylakh,RU,2021-12-08 20:10:29,71.9167,114.0833,-6.68,90,100,8.9
19,Ushuaia,AR,2021-12-08 20:09:20,-54.8,-68.3,58.68,36,100,8.7
20,Tuatapere,NZ,2021-12-08 20:10:30,-46.1333,167.6833,52.83,95,100,2.66
21,Waddan,LY,2021-12-08 20:10:30,29.1614,16.139,54.86,28,1,7.18
22,Tasiilaq,GL,2021-12-08 20:10:31,65.6145,-37.6368,30.51,94,100,35.03
23,Chokurdakh,RU,2021-12-08 20:10:31,70.6333,147.9167,-47.78,100,97,3.38
24,Hobart,AU,2021-12-08 20:05:32,-42.8794,147.3294,50.25,82,75,9.22
25,Esperance,AU,2021-12-08 20:10:32,-33.8667,121.9,57.47,76,0,17.65
26,Iqaluit,CA,2021-12-08 20:07:26,63.7506,-68.5145,6.53,71,90,5.01
27,Nome,US,2021-12-08 20:10:32,64.5011,-165.4064,6.87,67,1,4.61
28,Avarua,CK,2021-12-08 20:10:33,-21.2078,-159.775,78.85,83,90,8.05
29,Dikson,RU,2021-12-08 20:10:33,73.5069,80.5464,-1.48,93,100,23.78
30,Immenstadt,DE,2021-12-08 20:10:33,47.561,10.2199,33.62,92,100,3.02
31,Alexandria,EG,2021-12-08 20:10:34,31.2156,29.9553,65.55,53,56,18.23
32,Roma,US,2021-12-08 20:10:34,43.2128,-75.4557,33.66,86,90,4.61
33,Dali,CN,2021-12-08 20:10:34,25.7,100.1833,48.58,90,15,3.6
34,Cabo San Lucas,MX,2021-12-08 20:10:35,22.8909,-109.9124,85.51,54,40,5.01
35,Busselton,AU,2021-12-08 20:10:35,-33.65,115.3333,78.04,49,2,9.98
36,Grindavik,IS,2021-12-08 20:10:35,63.8424,-22.4338,36.07,87,75,21.85
37,Norrtalje,SE,2021-12-08 20:10:36,59.758,18.705,34.02,71,100,8.84
38,Ostrovnoy,RU,2021-12-08 20:10:36,68.0531,39.5131,13.21,86,44,4.63
39,Arraial Do Cabo,BR,2021-12-08 20:10:36,-22.9661,-42.0278,67.86,94,75,4.61
40,Cape Town,ZA,2021-12-08 20:05:42,-33.9258,18.4232,69.35,70,100,1.01
41,Samarai,PG,2021-12-08 20:10:37,-10.6167,150.6667,81.54,81,100,9.93
42,Tupik,RU,2021-12-08 20:10:37,54.4253,119.9327,13.5,94,100,2.93
43,Milkovo,RU,2021-12-08 20:10:38,54.7167,158.6167,8.6,75,63,6.78
44,Monterey,US,2021-12-08 20:10:38,36.2505,-121.2516,58.1,1,9,4.05
45,Jamestown,US,2021-12-08 20:06:04,42.097,-79.2353,29.52,87,90,8.99
46,Bahia Blanca,AR,2021-12-08 20:06:37,-38.7196,-62.2724,70.77,78,100,11.65
47,Huicheng,CN,2021-12-08 20:11:39,23.0385,116.2899,57.83,86,1,7.63
48,Turukhansk,RU,2021-12-08 20:11:39,65.8167,87.9833,-3.08,97,100,23.11
49,Atuona,PF,2021-12-08 20:11:39,-9.8,-139.0333,78.08,75,14,17.4
50,Castro,BR,2021-12-08 20:11:40,-24.7911,-50.0119,71.73,46,5,4.29
51,Yellowknife,CA,2021-12-08 20:08:42,62.456,-114.3525,6.42,95,90,8.05
52,Ponta Do Sol,PT,2021-12-08 20:11:40,32.6667,-17.1,64.13,72,47,8.03
53,Maun,BW,2021-12-08 20:11:41,-19.9833,23.4167,76.12,61,100,4.12
54,Davila,PH,2021-12-08 20:11:41,18.4726,120.5763,74.68,70,38,21.5
55,Vaini,TO,2021-12-08 20:11:41,-21.2,-175.2,80.76,78,20,9.22
56,Hilo,US,2021-12-08 20:08:03,19.7297,-155.09,77.79,46,90,5.75
57,Port Lincoln,AU,2021-12-08 20:11:42,-34.7333,135.8667,57.31,58,79,14.88
58,Avera,US,2021-12-08 20:11:42,33.194,-82.5271,54.91,75,88,13.62
59,Codrington,AU,2021-12-08 20:11:43,-38.2667,141.9667,54.18,68,37,16.02
60,Smithers,CA,2021-12-08 20:11:43,54.7804,-127.1743,28.13,82,75,2.17
61,Ancud,CL,2021-12-08 20:11:43,-41.8697,-73.8203,80.22,63,3,7.56
62,Bonthe,SL,2021-12-08 20:11:44,7.5264,-12.505,81.68,80,0,7.87
63,Toora-Khem,RU,2021-12-08 20:11:44,52.4675,96.11,3.83,99,100,2.24
64,Smirnykh,RU,2021-12-08 20:11:44,49.75,142.8333,13.89,94,10,3.15
65,Norman Wells,CA,2021-12-08 20:11:45,65.282,-126.8329,18.93,91,100,17.0
66,Puerto Narino,CO,2021-12-08 20:11:45,-3.7703,-70.3831,91.35,70,100,3.6
67,Paraiso,CR,2021-12-08 20:11:45,9.8383,-83.8656,73.96,67,36,5.46
68,Sao Filipe,CV,2021-12-08 20:11:46,14.8961,-24.4956,77.45,64,100,8.55
69,Port Alfred,ZA,2021-12-08 20:11:46,-33.5906,26.891,68.86,94,100,13.27
70,Saint George,US,2021-12-08 20:11:47,37.1041,-113.5841,54.95,64,90,1.99
71,Tuktoyaktuk,CA,2021-12-08 20:11:47,69.4541,-133.0374,10.71,94,100,11.32
72,Petropavlovsk-Kamchatskiy,RU,2021-12-08 20:11:47,53.0452,158.6483,21.79,50,40,11.18
73,Kapaa,US,2021-12-08 20:11:48,22.0752,-159.319,82.38,77,75,1.99
74,Satoraljaujhely,HU,2021-12-08 20:11:48,48.4,21.6667,28.04,77,1,2.01
75,Middleton,GB,2021-12-08 20:11:48,53.55,-2.2,45.12,93,95,7.36
76,Kahului,US,2021-12-08 20:11:49,20.8947,-156.47,79.86,81,75,9.22
77,Luderitz,NA,2021-12-08 20:11:49,-26.6481,15.1594,61.79,91,0,11.97
78,Georgetown,MY,2021-12-08 20:11:49,5.4112,100.3354,79.9,79,20,9.22
79,Virginia Beach,US,2021-12-08 20:10:53,36.8529,-75.978,46.02,76,100,12.1
80,Aksarka,RU,2021-12-08 20:11:50,66.5606,67.7975,15.87,80,100,23.13
81,Khatanga,RU,2021-12-08 20:11:50,71.9667,102.5,1.33,95,100,11.95
82,Albany,US,2021-12-08 20:11:32,42.6001,-73.9662,36.09,78,100,3.02
83,Beira,MZ,2021-12-08 20:11:51,-19.8436,34.8389,82.49,83,40,17.27
84,Boo,SE,2021-12-08 20:11:51,59.3333,18.2833,33.76,79,20,11.5
85,Mataura,NZ,2021-12-08 20:11:52,-46.1927,168.8643,52.48,93,97,1.25
86,Guerrero Negro,MX,2021-12-08 20:11:52,27.9769,-114.0611,69.19,52,100,5.44
